epoch,step,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,49,0.625,1.0200319290161133,,
0,99,0.7734375,0.643923819065094,,
0,149,0.8515625,0.46985864639282227,,
0,199,0.8125,0.5203418731689453,,
0,249,0.8125,0.49631088972091675,,
0,299,0.8125,0.5384432077407837,,
0,328,,,0.7799833416938782,0.5006662607192993
1,349,0.859375,0.40401825308799744,,
1,399,0.8125,0.539191722869873,,
1,449,0.8125,0.454645037651062,,
1,499,0.875,0.4578981101512909,,
1,549,0.8359375,0.504210352897644,,
1,599,0.8671875,0.3661089837551117,,
1,649,0.796875,0.534167468547821,,
1,657,,,0.8410333395004272,0.44488003849983215
2,699,0.90625,0.34388449788093567,,
2,749,0.875,0.3803691267967224,,
2,799,0.796875,0.4802638292312622,,
2,849,0.8671875,0.43905267119407654,,
2,899,0.8203125,0.4911060631275177,,
2,949,0.828125,0.4213024973869324,,
2,986,,,0.854366660118103,0.4209187924861908
