epoch,step,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,49,0.6015625,1.052282691001892,,
0,99,0.7578125,0.72959965467453,,
0,149,0.8359375,0.5842716097831726,,
0,199,0.8125,0.595098614692688,,
0,249,0.8046875,0.6076478362083435,,
0,299,0.796875,0.6542407274246216,,
0,328,,,0.7633333206176758,0.5879843831062317
1,349,0.84375,0.4785580039024353,,
1,399,0.8046875,0.5693550705909729,,
1,449,0.8203125,0.5393354892730713,,
1,499,0.8515625,0.544725239276886,,
1,549,0.8203125,0.6486365795135498,,
1,599,0.8359375,0.44782713055610657,,
1,649,0.78125,0.6521663665771484,,
1,657,,,0.8205500245094299,0.5181713700294495
2,699,0.8515625,0.4477781057357788,,
2,749,0.859375,0.44276025891304016,,
2,799,0.765625,0.49795880913734436,,
2,849,0.8359375,0.5148524045944214,,
2,899,0.828125,0.48734790086746216,,
2,949,0.796875,0.5029430985450745,,
2,986,,,0.8343833088874817,0.48793983459472656
