epoch,step,train_step_acc,train_step_loss,val_step_acc,val_step_loss
0,49,0.6640625,0.893464982509613,,
0,99,0.78125,0.5851255059242249,,
0,149,0.8359375,0.47050708532333374,,
0,199,0.8125,0.49932873249053955,,
0,249,0.8359375,0.5071758031845093,,
0,299,0.8046875,0.5406109094619751,,
0,328,,,0.7888333201408386,0.5116822123527527
1,349,0.8515625,0.40089496970176697,,
1,399,0.8359375,0.5136070847511292,,
1,449,0.828125,0.4502417743206024,,
1,499,0.8515625,0.47079211473464966,,
1,549,0.8203125,0.5469842553138733,,
1,599,0.875,0.35216033458709717,,
1,649,0.796875,0.5617966651916504,,
1,657,,,0.8429833054542542,0.44951462745666504
2,699,0.8984375,0.3354874551296234,,
2,749,0.8828125,0.3618253171443939,,
2,799,0.8125,0.436277836561203,,
2,849,0.828125,0.42398229241371155,,
2,899,0.8359375,0.4319031536579132,,
2,949,0.859375,0.37077876925468445,,
2,986,,,0.8545500040054321,0.4196522533893585
